year,gmst_anomaly,gmst_uncertainty
1850,-0.09202450980392154,0.4213828425553181
1851,-0.019441176470588212,0.3612684828028411
1852,0.02180882352941177,0.31583276165295665
1853,0.02089215686274512,0.34963993383670194
1854,0.020058823529411768,0.2957311560635211
1855,0.11255882352941178,0.3027059904704013
1856,-0.053691176470588214,0.38068972492919567
1857,-0.14860784313725492,0.3395219678705145
1858,-0.07977450980392156,0.2998018790245763
1859,-0.036607843137254875,0.26774334725628574
1860,0.015642156862745116,0.33282077258889153
1861,-0.046607843137254884,0.4142104939922857
1862,-0.1751911764705882,0.3335968125347323
1863,-0.1276078431372549,0.39720985217724225
1864,-0.08827450980392157,0.33393674550728913
1865,0.1978921568627451,0.44011769259293965
1866,0.06322549019607843,0.4715891573534461
1867,-0.04919117647058821,0.46098400189160577
1868,0.1836421568627451,0.39716243528309675
1869,0.13272549019607843,0.32948937767400027
1870,0.018475490196078415,0.2891340519551442
1871,0.08214215686274512,0.30565939649660157
1872,0.06880882352941176,0.30303960137249386
1873,0.03922549019607846,0.31314400308271384
1874,-0.09844117647058823,0.33576479863142294
1875,0.02722549019607845,0.2733591959309216
1876,-0.030607843137254925,0.33971875622834447
1877,0.31547549019607846,0.3232569927060099
1878,0.3112254901960785,0.2701692370842148
1879,0.051058823529411795,0.25821357439143283
1880,0.038558823529411757,0.2544266429968895
1881,0.08705882352941177,0.2498996465250268
1882,0.03897549019607846,0.2251055308072194
1883,-0.010524509803921556,0.24113533544464197
1884,-0.14044117647058826,0.23531149568178772
1885,-0.13819117647058823,0.2518377453838086
1886,-0.13244117647058826,0.2214595523641582
1887,-0.19535784313725488,0.2396422681136754
1888,-0.004441176470588226,0.2371209255492508
1889,0.10914215686274512,0.2654516591271061
1890,-0.15735784313725484,0.20267893329105519
1891,-0.05644117647058819,0.2655502149625691
1892,-0.17802450980392157,0.249388585678388
1893,-0.1386078431372549,0.2230405419051284
1894,-0.09994117647058823,0.19941602242548115
1895,-0.035691176470588254,0.2367336759595756
1896,0.09722549019607846,0.2360252458248199
1897,0.11755882352941179,0.24546690204587665
